QuestionID,validPoll,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,VariableName,IntMethod,StudyNote,Franklin D. Roosevelt,Alf Landon,Other / Undecided
USGALLUP.090636.R01,True,Whom do you prefer for President?,* = less than .5 percent,,09/6/1936,Gallup Organization,,Gallup Poll,08/24/1936,08/29/1936,Y,National adult,1500,,Face-to-face interview,Sample size is approximate.,49.0,44.0,6.0
USGALLUP.36-053.Q4B,False,WHICH (1936 PRESIDENTIAL) CANDIDATE DO YOU THINK WILL WIN IN YOUR STATE?,,,10/1/1936,Gallup Organization,,Gallup Poll (AIPO),09/28/1936,10/2/1936,Y,National Adult,5599,,Face-to-face interview,Sample size is approximate.,0.0,0.0,0.0
USGALLUP.110136.R01,True,Which candidate do you prefer for President?,* = less than .5 percent,,11/1/1936,Gallup Organization,,Gallup Poll,10/23/1936,10/28/1936,Y,National adult,1500,,Face-to-face interview,Sample size is approximate.,54.0,43.0,3.0
USGALLUP.071236.R01,True,"If the presidential election were today, for which candidate would you vote?",,,07/12/1936,Gallup Organization,,Gallup Poll,06/12/1936,06/27/1936,Y,National adult,1500,,Face-to-face interview,Sample size is approximate.,52.0,48.0,0.0
USGALLUP.080936.R03,True,Which candidate do you prefer for President?,,,08/9/1936,Gallup Organization,,Gallup Poll,07/20/1936,07/25/1936,Y,National adult,1500,,Face-to-face interview,Sample size is approximate.,49.0,45.0,6.0
USGALLUP.092736.R01,True,Which candidate do you prefer for President?,* = less than .5 percent,,09/27/1936,Gallup Organization,,Gallup Poll,09/7/1936,09/12/1936,Y,National adult,1500,,Face-to-face interview,Sample size is approximate.,50.0,45.0,6.0
USGALLUP.102536.R01,True,Which candidate do you prefer for President?,* = less than .5 percent,,10/25/1936,Gallup Organization,,Gallup Poll,10/12/1936,10/17/1936,Y,National adult,1500,,Face-to-face interview,Sample size is approximate.,51.0,44.0,5.0
USGALLUP.100436.R06,True,Which candidate do you prefer for President?,* = less than .5 percent,,10/4/1936,Gallup Organization,,Gallup Poll,09/21/1936,09/26/1936,Y,National adult,1500,,Face-to-face interview,Sample size is approximate.,50.0,44.0,5.0
USGALLUP.36-053.Q4A,False,"REGARDLESS OF HOW YOU, YOURSELF, PLAN TO VOTE, WHICH (1936) PRESIDENTIAL CANDIDATE DO YOU THINK WILL WIN?",* = LESS THAN .5 PERCENT,,10/1/1936,Gallup Organization,,Gallup Poll (AIPO),09/28/1936,10/2/1936,Y,National Adult,5599,,Face-to-face interview,Sample size is approximate.,0.0,0.0,0.0
USGALLUP.101836.R01,True,Which candidate do you prefer for President?,* = less than .5 percent,,10/18/1936,Gallup Organization,,Gallup Poll,10/3/1936,10/8/1936,Y,National adult,1500,,Face-to-face interview,Sample size is approximate.,51.0,44.0,5.0
USGALLUP.36-053.Q4C,False,DOES THE NEWSPAPER WHICH YOU READ SUPPORT LANDON OR ROOSEVELT (FOR PRESIDENT 1936)?,,,10/1/1936,Gallup Organization,,Gallup Poll (AIPO),09/28/1936,10/2/1936,Y,National Adult,5599,,Face-to-face interview,Sample size is approximate.,0.0,0.0,0.0
USGALLUP.082336.R01,True,Whom do you prefer for President?,* = less than .5 percent,,08/23/1936,Gallup Organization,,Gallup Poll,08/10/1936,08/15/1936,Y,National adult,1500,,Face-to-face interview,Sample size is approximate.,49.0,45.0,6.0
USGALLUP.083036.R01,True,Whom do prefer for President?,* = less than .5 percent,,08/30/1936,Gallup Organization,,Gallup Poll,08/17/1936,08/22/1936,Y,National adult,1500,,Face-to-face interview,Sample size is approximate.,49.0,45.0,6.0
USGALLUP.36-053.Q5A,True,WHICH CANDIDATE DO YOU PREFER FOR PRESIDENT (1936)?,* = LESS THAN .5 PERCENT,,10/1/1936,Gallup Organization,,Gallup Poll (AIPO),09/28/1936,10/2/1936,Y,National Adult,5599,,Face-to-face interview,Sample size is approximate.,56.0,38.0,6.0
